DEBUG:PIL.PngImagePlugin:STREAM b'IHDR' 16 13
DEBUG:PIL.PngImagePlugin:STREAM b'pHYs' 41 9
DEBUG:PIL.PngImagePlugin:STREAM b'iTXt' 62 1666
DEBUG:PIL.PngImagePlugin:STREAM b'IDAT' 1740 71177
INFO:root:Pixel at (80, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:Pixel at (81, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:Pixel at (82, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:Pixel at (83, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:Pixel at (84, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:Pixel at (85, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:Pixel at (86, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:Pixel at (87, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:Pixel at (88, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:Pixel at (89, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:Pixel at (90, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:Pixel at (91, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:Pixel at (92, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:Pixel at (93, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:Pixel at (94, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:Pixel at (95, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:Pixel at (96, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:Pixel at (97, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:Pixel at (98, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:Pixel at (99, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:Pixel at (100, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:Pixel at (101, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:Pixel at (102, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:Pixel at (103, 0) - R: 240, G: 0, B: 255, A: 255
INFO:root:Pixel at (104, 0) - R: 240, G: 0, B: 255, A: 255
